Employee ID,Employee Name,Gender,Email,Band,Date Of Joining,Status,Contact No.,Reporting Manager,Reportees,Tech Area,Project info,\n
14121,SUDHARANI PILLAI,F,sudharani@thundersoft.com,Vice President,01-08-2018,Active,9822561334,,NIL,NIL,NIL,\n
210001,SACHIN BHAYARE,M,sachin@thundersoft.com,E5,01-08-2018,Active,9822561335,SUDHARANI PILLAI  [014121],NIL,C - DS -OS  GIT ADB Python,MICRON,\n
210002,ANURADHA KORRAPATI,F,anuradha@thundersoft.com,E5,06-08-2018,Active,9822561336,SUDHARANI PILLAI  [014121],NIL,C - DS -OS  GIT,QC-HYD,\n
210004,GODE VENKATARAMANA,M,venkat@thundersoft.com,E4,03-09-2018,Active,9822561337,LOKESH KUMAR   [0210019],NIL,C - DS -OS  GIT  ADB Python,QC-HYD,\n
210005,AVINASH GUPTA,M,avinash.gupta@thundersoft.com,E2,03-09-2018,Resignation,9822561338,SHANTHI SINDHU   [0210030],NIL,C - DS -OS   GIT  ADB Python Perl,MICRON,\n
210007,PARCHURI VIJAYA JAYASHREE,F,vijaya.jayashree@thundersoft.com,E2,03-09-2018,Resignation,9822561339,SACHIN BHAYARE   [0210001],SACHIN BHAYARE   [0210001],C - DS -OS  GIT  ADB Python Modem Basics embedded concepts in DD,QC-BANG,\n
210008,SHIVA KUMAR JAYARAMAN,M,shiva.jayaraman@thundersoft.com,E1 ,03-09-2018,Resignation,9822561340,MAHENDER MUDUPU   [0210031],SIVARAM KUPPA   [0210110],C - DS -OS   GIT,MICRON,\n
210009,SURENDRA PRAJAPATI,M,surendra.prajapati@thundersoft.com,E2,03-09-2018,Resignation,9822561341,SHANTHI SINDHU   [0210030],AKELLA PRASANNA KUMAR [0210108],C - DS -OS   GIT,QC-HYD,\n
210010,DAGGULA AMANIREDDY,M,amani.reddy@thundersoft.com,E2,10-09-2018,Suspension,9822561342,MONIKA ALEKHYA BOMMISETTI   [0210149],KALYANI POLEPEDDY   [0210167],C - DS -OS  Basic LDD GIT  Audio,MICRON,\n
210011,VISWANADHAPALLI  NAGABABU,M,nagababu.v@thundersoft.com,E2,10-09-2018,Resignation,9822561343,MAHENDER MUDUPU   [0210031],VAGEESWARI PANCHAGNULA   [0210151],C - DS -OS  GIT,MICRON,\n
210013,V V S PAVAN KUMAR,M,pavan.kumar@thundersoft.com,E1 ,10-09-2018,Resignation,9822561344,SACHIN BHAYARE   [0210001],Ravi Kumar Gupta  [0210289],C - DS -OS  GIT,QC Reqs ,\n
210014,HARDIK SURESHBHAI MADHVANI,M,hardik.madhvani@thundersoft.com,E1,10-09-2018,Resignation,9822561345,SHANTHI SINDHU   [0210030],BALARAMU NAIDU   [0210058],C - DS -OS  GIT,MICRON,\n
210015,SNIGDHA UPADHYAY,F,snigdha.upadhyay@thundersoft.com,E2,10-09-2018,Resignation,9822561346,ANURAG SHARMA   [0210148],DURYODANULA ANIL KUMAR   [0210088],C - DS -OS  ADB GIT Basic LDD,MICRON,\n
210016,SRIKANTH MUCHARLA,M,srikanth.mucharla@thundersoft.com,E3,14-09-2018,Resignation,9822561347,SACHIN BHAYARE   [0210001],SOUMYA RANJAN SUTAR   [0210169],C - DS -OS  GIT,QC-HYD,\n
210017,CHANDRIKA S,F,chandrika.s@thundersoft.com,E1,14-09-2018,Resignation,9822561348,VIKAS REDDY   [0210022],KARNATI NAGESWARA REDDY [0210171],C - DS -OS  GIT,Visteon Audio,\n
210019,LOKESH KUMAR,M,lokesh@thundersoft.com,E5,20-09-2018,Active,9822561349,SUDHARANI PILLAI  [014121],CHINTALA YOUGHANDHAR   [0210189],C - DS -OS  GIT,QC-HYD,\n
210021,RAJI REDDY KANDI,F,raji.reddy@thundersoft.com,E3,20-09-2018,Resignation,9822561350,SACHIN BHAYARE   [0210001],BATHULA TULASI MAHALAKSHMI  [0210317],C - DS -OS ADB GIT Basic LDD Audio,QC-REQS ,\n
210022,VIKAS REDDY,M,vikas.pachika@thundersoft.com,E3,03-10-2018,Active,9822561351,SACHIN BHAYARE   [0210001],SACHIN BHAYARE   [0210001],C - DS -OS  GIT,MICRON,\n
210023,SRIVALLI OGURI,F,srivalli.oguri@thundersoft.com,E3 ,03-10-2018,Active,9822561352,TELLAPATI REDDAIAH   [0210154],VIJAY KRISHNA NIVARTHI   [0210212],C - DS -OS  GIT,MICRON,\n
210026,HEMANTH KALPAVAI,M,hemanth.k@thundersoft.com,E2,03-10-2018,Resignation,9822561353,DURYODANULA ANIL KUMAR   [0210088],Ravi Kumar Gupta  [0210289],C - DS -OS  ADB GIT Basic LDD Camera,Onboarded,\n
210027,JITENDRA BHAGVAN THAKER,M,Jitendra.thakare@thundersoft.com,E1,08-10-2018,Resignation,9822561354,VIKAS REDDY   [0210022],SOUMYA RANJAN SUTAR   [0210169],C - DS -OS  GIT,Visteon Audio,\n
